Sender,Sender Name,Receiver,Receiver Name,Seller GLN,Store GLN,Store Name,Region,City,Channel,Order Number,Invoice Number,Order Date,Delivery Date,Delivery Status,Line Number,Barcode,Product Code,Product Description,Product Category,Brand,Requested Qty,Unit of Measure,Unit Cost Price,Unit Selling Price,Discount (%),Net Extended Line Cost,Gross Sales (Before Discount),Profit Margin (%),Currency,Payment Method,Customer ID,Customer Type,Customer Segment,Customer Satisfaction (CSAT),Feedback Comment,Salesperson ID,Employee Attendance % (Month),Marketing Campaign ID,Campaign Channel,Supplier ID,Supplier Name,Supplier Rating,Lead Time (Days),Inventory Level (Before Sale),Stock Replenishment Date,Warehouse Utilization (%),Logistics Cost per Unit,Operational Cost Total,Forecasted Demand (Next Period),Actual Demand,AI Insight Summary
6.00E+12,SHOPRITE,6.00E+12,Coca Cola Beverages,6.00E+12,6.00E+12,BP PnP Nirvana,KwaZulu-Natal,Cape Town,Retail,97678630,1558327310,05/05/2025,10/05/2025,In Transit,8,5.45E+12,7867,Schw Lemonade 01X12 1000 Shr,Juice,Bonaqua,2,CS,97.92,134.7,0,269.4,269.4,27.31,ZAR,Cash,CUST-8830,Wholesale,Occasional,4.3,Average experience,EMP-5134,89,MKT-2025-08-SP,TV,SUP-3382,Coca Cola Beverages,3.9,3,477,14/05/2025,91,2.61,311.96,283,195,Product underperforming; consider promotion
6.00E+12,WOOLWORTHS,6.00E+12,Coca Cola Beverages,6.00E+12,6.00E+12,BP PnP Nirvana,Western Cape,Richards Bay,Distributor,44869230,1135158864,16/06/2025,19/06/2025,Pending,6,5.45E+12,2087,Valpre Sparkle 04X06 500 Pet,Alcoholic Beverages,Fanta,2,CS,142.74,205.6,0,411.2,411.2,30.57,ZAR,Cash,CUST-1792,Distributor,Occasional,3.8,Fast response,EMP-5992,89,MKT-2025-05-CC,Billboard,SUP-1146,Monster Energy,4.6,5,71,16/07/2025,81,4.07,236.18,471,425,Consistent performance across channels
6.00E+12,SHOPRITE,6.00E+12,Coca Cola Beverages,6.00E+12,6.00E+12,BP PnP Nirvana,Limpopo,Port Elizabeth,Online,61148737,1048874916,17/09/2025,18/09/2025,In Transit,9,5.45E+12,2081,Sparl Pine Nut 01X06 2000 Shr,Alcoholic Beverages,Fanta,6,CS,60.49,90.19,10,487.03,541.14,32.93,ZAR,Card,CUST-8060,Distributor,New,4.6,Delayed delivery,EMP-6473,86,MKT-2025-09-SP,Billboard,SUP-3239,Coca Cola Beverages,4.7,2,255,15/10/2025,88,3.61,489.08,397,367,Consistent performance across channels
6.00E+12,SHOPRITE,6.00E+12,Coca Cola Beverages,6.00E+12,6.00E+12,BP PnP Nirvana,Limpopo,Port Elizabeth,Online,16653135,1662347144,05/09/2025,06/09/2025,Delivered,5,5.45E+12,8644,GRAPETISER RED 300ML 04X06 CAN,Water,Monster,6,CS,149.28,176.78,10,954.61,1060.68,15.56,ZAR,EFT,CUST-5666,Distributor,High Value,4.2,Delayed delivery,EMP-6593,93,MKT-2025-07-BN,Billboard,SUP-7620,Coca Cola Beverages,4.3,7,191,27/09/2025,92,2.63,270.04,218,416,High-performing SKU; demand increasing in coastal regions
6.00E+12,MASSDISCOUNTERS,6.00E+12,Coca Cola Beverages,6.00E+12,6.00E+12,BP PnP Nirvana,Western Cape,Johannesburg,Online,46685713,1833499769,01/10/2025,07/10/2025,Pending,6,5.45E+12,2050,APPLETISER 300ML 04X06 CAN,Juice,Bonaqua,14,CS,76.76,111.68,10,1407.17,1563.52,31.27,ZAR,Cash,CUST-9634,Distributor,Frequent Buyer,3.4,Great service,EMP-3665,87,MKT-2025-10-SP,TV,SUP-9492,Bonaqua Distributors,3.7,4,135,15/10/2025,72,4.57,354.33,427,225,Product underperforming; consider promotion
6.00E+12,MASSDISCOUNTERS,6.00E+12,Coca Cola Beverages,6.00E+12,6.00E+12,BP PnP Nirvana,Western Cape,Johannesburg,Online,12564377,1464123492,06/03/2025,07/03/2025,In Transit,7,5.45E+12,3855,Coke Zero 01X12 1500 Shr,Energy Drinks,Fanta,11,CS,88.31,131.96,10,1306.4,1451.56,33.08,ZAR,EFT,CUST-2047,Retail,High Value,4.7,Great service,EMP-4657,93,MKT-2025-10-SP,In-store,SUP-7764,Bonaqua Distributors,3.6,4,444,05/04/2025,69,4.68,469.29,381,277,Product underperforming; consider promotion
6.00E+12,WOOLWORTHS,6.00E+12,Coca Cola Beverages,6.00E+12,6.00E+12,BP PnP Nirvana,Limpopo,Polokwane,Online,88038221,1013107673,23/04/2025,27/04/2025,Pending,1,5.45E+12,7883,Coke Zero 01X12 1000 Shr,Energy Drinks,Sprite,1,CS,68.39,76.45,5,72.63,76.45,10.54,ZAR,EFT,CUST-9842,Wholesale,Frequent Buyer,3.2,Average experience,EMP-3363,99,MKT-2025-10-SP,Billboard,SUP-5192,Coca Cola Beverages,3.6,3,297,13/05/2025,94,2.74,159.48,206,195,Consistent performance across channels
6.00E+12,SHOPRITE,6.00E+12,Coca Cola Beverages,6.00E+12,6.00E+12,BP PnP Nirvana,Gauteng,Johannesburg,Distributor,38160691,1909854179,28/07/2025,04/08/2025,In Transit,6,5.45E+12,7726,Appletiser 1.25L Bottle,Juice,Bonaqua,11,CS,109.57,163.31,0,1796.41,1796.41,32.91,ZAR,Card,CUST-9724,Retail,Frequent Buyer,4.9,Product quality good,EMP-5103,91,MKT-2025-09-SP,Billboard,SUP-1684,Monster Energy,5,4,119,11/08/2025,89,2.64,460.51,451,212,High-performing SKU; demand increasing in coastal regions
6.00E+12,WOOLWORTHS,6.00E+12,Coca Cola Beverages,6.00E+12,6.00E+12,BP PnP Nirvana,KwaZulu-Natal,Cape Town,Retail,57790691,1306025734,15/02/2025,16/02/2025,Pending,7,5.45E+12,1993,Monster Original 06X04 500 Can,Energy Drinks,Coca-Cola,20,CS,114.07,130.54,0,2610.8,2610.8,12.62,ZAR,Card,CUST-6364,Distributor,Occasional,3.9,Fast response,EMP-4041,97,MKT-2025-04-SP,Billboard,SUP-8711,Monster Energy,4.4,1,405,04/03/2025,84,4.37,302.56,227,350,Customer satisfaction improving month-over-month
6.00E+12,MASSDISCOUNTERS,6.00E+12,Coca Cola Beverages,6.00E+12,6.00E+12,BP PnP Nirvana,Western Cape,Richards Bay,Distributor,98683776,1518565720,24/04/2025,28/04/2025,In Transit,5,5.45E+12,2301,Coke 01X24 440 Pet,Water,Monster,14,CS,93.36,108.92,5,1448.64,1524.88,14.29,ZAR,Card,CUST-4024,Wholesale,Frequent Buyer,3.9,Fast response,EMP-7453,99,MKT-2025-02-BN,Social Media,SUP-5986,Bonaqua Distributors,4.6,1,487,09/05/2025,95,3.43,404.68,270,162,Product underperforming; consider promotion
6.00E+12,MASSDISCOUNTERS,6.00E+12,Coca Cola Beverages,6.00E+12,6.00E+12,BP PnP Nirvana,Eastern Cape,Richards Bay,Distributor,90022055,1990702014,07/07/2025,13/07/2025,Delivered,5,5.45E+12,7807,Schw Tonic Zero 04X06 200 Can,Soft Drinks,Fanta,15,CS,59.39,75.5,0,1132.5,1132.5,21.34,ZAR,Card,CUST-3207,Distributor,High Value,3.8,Delayed delivery,EMP-8395,85,MKT-2025-09-CC,In-store,SUP-3164,Monster Energy,4.2,2,294,21/07/2025,89,2.6,246.26,490,420,High-performing SKU; demand increasing in coastal regions
6.00E+12,SPAR,6.00E+12,Coca Cola Beverages,6.00E+12,6.00E+12,BP PnP Nirvana,Limpopo,Johannesburg,Retail,75451117,1060646083,07/07/2025,08/07/2025,Delivered,10,5.45E+12,3400,COKE ZERO 01X06 2250 SHR,Soft Drinks,Monster,6,CS,73.53,94.95,10,512.73,569.7,22.56,ZAR,Card,CUST-7809,Wholesale,New,3.7,Fast response,EMP-5287,87,MKT-2025-07-CC,TV,SUP-4899,Coca Cola Beverages,3.7,2,283,20/07/2025,93,2.3,261.4,255,390,Sales dropping slightly in inland areas
6.00E+12,SPAR,6.00E+12,Coca Cola Beverages,6.00E+12,6.00E+12,BP PnP Nirvana,Limpopo,Port Elizabeth,Retail,65125306,1070897551,20/02/2025,22/02/2025,Pending,10,5.45E+12,9036,COKE LIGHT NS 01X06 2250 SHR,Juice,Sprite,4,CS,77.29,95.85,10,345.06,383.4,19.36,ZAR,Cash,CUST-5675,Wholesale,New,4.5,Great service,EMP-4577,98,MKT-2025-07-CC,TV,SUP-8213,Coca Cola Beverages,4.4,2,142,25/02/2025,65,3.22,326.82,207,360,High-performing SKU; demand increasing in coastal regions
6.00E+12,WOOLWORTHS,6.00E+12,Coca Cola Beverages,6.00E+12,6.00E+12,BP PnP Nirvana,Western Cape,Polokwane,Online,12392455,1962300394,22/10/2025,29/10/2025,Pending,1,5.45E+12,9825,SCHW DRY LEMON LS 1X12 1000 PT,Alcoholic Beverages,Monster,15,CS,96.01,117.81,0,1767.15,1767.15,18.5,ZAR,Cash,CUST-5078,Retail,Occasional,4,Average experience,EMP-3689,86,MKT-2025-03-CC,Social Media,SUP-2750,Monster Energy,4.9,4,393,13/11/2025,72,1.62,160.47,286,358,Sales dropping slightly in inland areas
6.00E+12,WOOLWORTHS,6.00E+12,Coca Cola Beverages,6.00E+12,6.00E+12,BP PnP Nirvana,Western Cape,Johannesburg,Retail,80913403,1294619970,23/05/2025,26/05/2025,Pending,6,5.45E+12,1437,COKE ZSZC 01X06 2250 PET,Alcoholic Beverages,Sprite,19,CS,58.9,79.72,5,1438.95,1514.68,26.12,ZAR,EFT,CUST-2543,Wholesale,Occasional,2.6,Delayed delivery,EMP-3455,99,MKT-2025-12-FT,Billboard,SUP-4481,Monster Energy,3.7,1,93,22/06/2025,80,4.74,354.82,470,206,Consistent performance across channels
6.00E+12,MASSDISCOUNTERS,6.00E+12,Coca Cola Beverages,6.00E+12,6.00E+12,BP PnP Nirvana,KwaZulu-Natal,Polokwane,Online,88758821,1824640998,14/09/2025,20/09/2025,In Transit,3,5.45E+12,4566,Coke 01X06 2000 Shr,Soft Drinks,Sprite,11,CS,140,169.98,0,1869.78,1869.78,17.64,ZAR,Cash,CUST-7771,Retail,Occasional,4.1,Product quality good,EMP-5195,86,MKT-2025-10-BN,Billboard,SUP-2289,Monster Energy,4.6,1,253,21/09/2025,61,3.14,201.88,386,348,High-performing SKU; demand increasing in coastal regions
6.00E+12,MASSDISCOUNTERS,6.00E+12,Coca Cola Beverages,6.00E+12,6.00E+12,BP PnP Nirvana,KwaZulu-Natal,Polokwane,Retail,13446275,1014263211,04/05/2025,06/05/2025,Delivered,2,5.45E+12,9190,Coke 01X12 1500 Shr,Water,Coca-Cola,5,CS,131.04,176.88,10,795.96,884.4,25.92,ZAR,EFT,CUST-1345,Retail,High Value,2.6,Delayed delivery,EMP-3368,95,MKT-2025-11-CC,Billboard,SUP-4032,Coca Cola Beverages,4.2,4,395,31/05/2025,89,1.08,100.66,276,396,Product underperforming; consider promotion
6.00E+12,SPAR,6.00E+12,Coca Cola Beverages,6.00E+12,6.00E+12,BP PnP Nirvana,Limpopo,Cape Town,Retail,18651831,1238850983,17/06/2025,18/06/2025,Delivered,10,5.45E+12,3019,12X1L Coke,Water,Coca-Cola,15,CS,52.9,61.93,10,836.06,928.95,14.58,ZAR,Card,CUST-6244,Wholesale,Occasional,2.6,Fast response,EMP-1714,87,MKT-2025-04-SP,Billboard,SUP-2429,Coca Cola Beverages,3.9,2,399,17/07/2025,62,2.72,66.35,385,436,Sales dropping slightly in inland areas
6.00E+12,SPAR,6.00E+12,Coca Cola Beverages,6.00E+12,6.00E+12,BP PnP Nirvana,Western Cape,Port Elizabeth,Retail,16572640,1088765281,14/02/2025,21/02/2025,Delivered,7,5.45E+12,9339,Coke 01X24 440 Pet,Alcoholic Beverages,Sprite,3,CS,76,95.45,0,286.35,286.35,20.38,ZAR,Card,CUST-8021,Wholesale,New,3.1,Delayed delivery,EMP-7314,97,MKT-2025-11-SP,Social Media,SUP-3495,Monster Energy,4,6,206,03/03/2025,67,3.62,315.11,266,151,Consistent performance across channels
6.00E+12,MASSDISCOUNTERS,6.00E+12,Coca Cola Beverages,6.00E+12,6.00E+12,BP PnP Nirvana,Eastern Cape,Cape Town,Online,63457242,1765999096,15/04/2025,18/04/2025,Delivered,1,5.45E+12,7281,Coke 04X06 300 Can,Alcoholic Beverages,Fanta,18,CS,133.86,147.73,5,2526.18,2659.14,9.39,ZAR,Card,CUST-6851,Retail,New,4.3,Great service,EMP-6444,88,MKT-2025-06-FT,Billboard,SUP-1369,Coca Cola Beverages,4.4,1,328,07/05/2025,86,1.85,229.52,434,366,Consistent performance across channels
6.00E+12,SHOPRITE,6.00E+12,Coca Cola Beverages,6.00E+12,6.00E+12,BP PnP Nirvana,Western Cape,Cape Town,Distributor,15770037,1836211321,19/10/2025,23/10/2025,Pending,8,5.45E+12,7568,Sprite Ls 04X06 300 Can,Water,Fanta,5,CS,107.08,136.02,10,612.09,680.1,21.28,ZAR,Cash,CUST-6544,Distributor,New,2.5,Delayed delivery,EMP-3846,88,MKT-2025-08-SP,TV,SUP-6539,Monster Energy,4.9,1,499,28/10/2025,87,2.13,186.02,447,336,Customer satisfaction improving month-over-month
6.00E+12,SPAR,6.00E+12,Coca Cola Beverages,6.00E+12,6.00E+12,BP PnP Nirvana,Limpopo,Port Elizabeth,Retail,93304376,1741324333,20/02/2025,27/02/2025,Delivered,9,5.45E+12,3430,Stoney 04X06 300 Can,Energy Drinks,Bonaqua,18,CS,72.8,107.76,10,1745.71,1939.68,32.44,ZAR,EFT,CUST-4624,Distributor,High Value,3.7,Fast response,EMP-6015,95,MKT-2025-10-CC,Social Media,SUP-5080,Monster Energy,4.7,3,479,14/03/2025,85,2.35,435.6,268,216,Product underperforming; consider promotion
6.00E+12,SHOPRITE,6.00E+12,Coca Cola Beverages,6.00E+12,6.00E+12,BP PnP Nirvana,KwaZulu-Natal,Richards Bay,Online,36043402,1286371909,15/01/2025,21/01/2025,Delivered,7,5.45E+12,6081,Sparl Sparberry 04X06 300 Can,Energy Drinks,Sprite,2,CS,135.87,167.31,10,301.16,334.62,18.79,ZAR,EFT,CUST-6280,Retail,New,3.8,Average experience,EMP-7605,86,MKT-2025-05-SP,Billboard,SUP-5807,Bonaqua Distributors,4.7,7,445,28/01/2025,88,1.56,225.28,455,417,Sales dropping slightly in inland areas
6.00E+12,MASSDISCOUNTERS,6.00E+12,Coca Cola Beverages,6.00E+12,6.00E+12,BP PnP Nirvana,Gauteng,Johannesburg,Distributor,63785671,1136859784,16/07/2025,19/07/2025,Delivered,1,5.45E+12,2946,Fanta Orange 01X06 2000 Shr,Alcoholic Beverages,Bonaqua,13,CS,84.52,97.16,10,1136.77,1263.08,13.01,ZAR,EFT,CUST-3564,Distributor,Frequent Buyer,4.9,Delayed delivery,EMP-7187,97,MKT-2025-07-SP,Billboard,SUP-2228,Coca Cola Beverages,3.6,7,159,24/07/2025,65,4.38,488.95,403,176,Product underperforming; consider promotion
6.00E+12,WOOLWORTHS,6.00E+12,Coca Cola Beverages,6.00E+12,6.00E+12,BP PnP Nirvana,Limpopo,Port Elizabeth,Online,86646299,1294245109,09/06/2025,13/06/2025,Delivered,10,5.45E+12,9543,FANTA GRAPE 01X06 2000 SHR,Juice,Sprite,16,CS,116.41,133.4,5,2027.68,2134.4,12.74,ZAR,Cash,CUST-5877,Distributor,New,5,Fast response,EMP-5865,90,MKT-2025-08-BN,In-store,SUP-9429,Bonaqua Distributors,3.9,1,121,07/07/2025,92,1.45,143.91,421,450,Consistent performance across channels
6.00E+12,SPAR,6.00E+12,Coca Cola Beverages,6.00E+12,6.00E+12,PnP QualiSave Mthatha Mall,Eastern Cape,Cape Town,Online,25993331,1004717664,29/09/2025,03/10/2025,Delivered,1,5.45E+12,7436,COKE LIGHT NS 01X06 2250 SHR,Alcoholic Beverages,Sprite,16,CS,134.88,190.65,10,2745.36,3050.4,29.25,ZAR,Card,CUST-6282,Wholesale,High Value,2.9,Average experience,EMP-4394,91,MKT-2025-05-FT,Billboard,SUP-4404,Monster Energy,5,3,54,26/10/2025,64,2.58,420.26,395,205,Sales dropping slightly in inland areas
6.00E+12,SPAR,6.00E+12,Coca Cola Beverages,6.00E+12,6.00E+12,PnP QualiSave Mthatha Mall,Western Cape,Polokwane,Retail,63928482,1402690073,19/09/2025,22/09/2025,Pending,6,5.45E+12,7031,Sparl Sparberry 01X06 2000 Shr,Water,Monster,12,CS,87.66,125.77,5,1433.78,1509.24,30.3,ZAR,EFT,CUST-9686,Wholesale,High Value,3.4,Delayed delivery,EMP-5270,86,MKT-2025-01-CC,Social Media,SUP-3891,Bonaqua Distributors,3.7,4,442,09/10/2025,75,3.83,314.69,303,443,Customer satisfaction improving month-over-month
6.00E+12,SHOPRITE,6.00E+12,Coca Cola Beverages,6.00E+12,6.00E+12,PnP QualiSave Mthatha Mall,Gauteng,Polokwane,Retail,70651727,1952555468,16/05/2025,20/05/2025,In Transit,4,5.45E+12,1739,Sparl Crem Soda 01X06 2000 Shr,Juice,Bonaqua,4,CS,119.17,161.43,0,645.72,645.72,26.18,ZAR,Cash,CUST-2032,Distributor,High Value,3.6,Delayed delivery,EMP-4152,89,MKT-2025-11-BN,TV,SUP-6553,Coca Cola Beverages,3.9,5,58,13/06/2025,82,2.34,310.65,232,236,Sales dropping slightly in inland areas
6.00E+12,WOOLWORTHS,6.00E+12,Coca Cola Beverages,6.00E+12,6.00E+12,PnP QualiSave Mthatha Mall,Gauteng,Johannesburg,Online,39897504,1336347882,08/06/2025,15/06/2025,In Transit,1,5.45E+12,1394,Stoney 01X06 2000 Shr,Juice,Bonaqua,3,CS,131.81,189.82,0,569.46,569.46,30.56,ZAR,Card,CUST-8768,Distributor,High Value,4.5,Fast response,EMP-2385,91,MKT-2025-03-FT,In-store,SUP-7053,Coca Cola Beverages,4.7,3,256,08/07/2025,61,1.71,463.24,335,321,High-performing SKU; demand increasing in coastal regions
6.00E+12,MASSDISCOUNTERS,6.00E+12,Coca Cola Beverages,6.00E+12,6.00E+12,PnP QualiSave Mthatha Mall,Limpopo,Richards Bay,Online,53359054,1267613478,23/09/2025,26/09/2025,Delivered,1,5.45E+12,9671,COKE NO SUGAR 01X06 2250 SHR,Water,Bonaqua,1,CS,67.77,90.36,10,81.32,90.36,25,ZAR,EFT,CUST-1770,Wholesale,Frequent Buyer,2.9,Delayed delivery,EMP-2870,91,MKT-2025-11-CC,In-store,SUP-8476,Monster Energy,3.5,4,379,22/10/2025,61,4.01,92.01,287,268,Consistent performance across channels
6.00E+12,WOOLWORTHS,6.00E+12,Coca Cola Beverages,6.00E+12,6.00E+12,PnP QualiSave Mthatha Mall,Limpopo,Polokwane,Online,13821583,1265630051,27/05/2025,01/06/2025,Delivered,10,5.45E+12,2481,SPRITE ZERO 01X06 2250 SHR,Water,Sprite,13,CS,53.54,78.92,5,974.66,1025.96,32.16,ZAR,Cash,CUST-8590,Retail,Occasional,4.4,Fast response,EMP-8680,89,MKT-2025-12-BN,In-store,SUP-9625,Bonaqua Distributors,4.1,4,326,11/06/2025,79,2.39,479.47,483,152,High-performing SKU; demand increasing in coastal regions
6.00E+12,MASSDISCOUNTERS,6.00E+12,Coca Cola Beverages,6.00E+12,6.00E+12,PnP QualiSave Mthatha Mall,Western Cape,Richards Bay,Distributor,72119683,1220501723,08/05/2025,14/05/2025,Pending,8,5.45E+12,6682,FANTA ZERO 01X06 2250 SHR,Juice,Coca-Cola,7,CS,149.55,165,10,1039.5,1155,9.36,ZAR,EFT,CUST-1735,Distributor,New,4.8,Average experience,EMP-4723,96,MKT-2025-05-BN,Billboard,SUP-3114,Coca Cola Beverages,3.9,6,266,29/05/2025,77,2.51,273.91,303,309,Customer satisfaction improving month-over-month
6.00E+12,MASSDISCOUNTERS,6.00E+12,Coca Cola Beverages,6.00E+12,6.00E+12,PnP QualiSave Mthatha Mall,Eastern Cape,Cape Town,Retail,33032974,1034756244,19/10/2025,25/10/2025,Pending,2,5.45E+12,3388,Sprite Ls 01X06 2000 Shr,Alcoholic Beverages,Monster,2,CS,88.6,131.35,5,249.56,262.7,32.55,ZAR,Cash,CUST-5833,Wholesale,Frequent Buyer,4.4,Fast response,EMP-9819,97,MKT-2025-03-BN,Social Media,SUP-6396,Monster Energy,4.9,2,252,01/11/2025,93,4.41,270.84,299,197,Customer satisfaction improving month-over-month
6.00E+12,MASSDISCOUNTERS,6.00E+12,Coca Cola Beverages,6.00E+12,6.00E+12,PnP QualiSave Mthatha Mall,Western Cape,Johannesburg,Distributor,65071582,1602319691,05/10/2025,11/10/2025,Delivered,7,5.45E+12,5303,COKE ZSZC 01X06 2250 PET,Alcoholic Beverages,Coca-Cola,2,CS,60.84,84.08,0,168.16,168.16,27.64,ZAR,EFT,CUST-2851,Distributor,High Value,3.9,Great service,EMP-3771,98,MKT-2025-11-BN,Billboard,SUP-3856,Bonaqua Distributors,4.8,7,469,25/10/2025,92,3.86,405.99,355,255,High-performing SKU; demand increasing in coastal regions
